"key","trap_id","zone","zone2","trap_date","year","week","spp","spp0","method","trap_status","total"
"FC001|Pipiens|2020|28","FC-001","SW","FC",2020-07-08,2020,28,"Pipiens","Culex pipiens","L","culex",1
"FC001|Pipiens|2020|32","FC-001","SW","FC",2020-08-05,2020,32,"Pipiens","Culex pipiens","L","culex",10
"FC001|Pipiens|2020|33","FC-001","SW","FC",2020-08-12,2020,33,"Pipiens","Culex pipiens","L","culex",1
"FC001|Pipiens|2020|34","FC-001","SW","FC",2020-08-19,2020,34,"Pipiens","Culex pipiens","L","culex",12
"FC001|Pipiens|2020|35","FC-001","SW","FC",2020-08-26,2020,35,"Pipiens","Culex pipiens","L","culex",1
"FC001|Pipiens|2021|26","FC-001","SW","FC",2021-06-30,2021,26,"Pipiens","Culex pipiens","L","culex",4
"FC001|Pipiens|2021|28","FC-001","SW","FC",2021-07-14,2021,28,"Pipiens","Culex pipiens","L","culex",3
"FC001|Pipiens|2021|30","FC-001","SW","FC",2021-07-28,2021,30,"Pipiens","Culex pipiens","L","culex",26
"FC001|Pipiens|2021|31","FC-001","SW","FC",2021-08-04,2021,31,"Pipiens","Culex pipiens","L","culex",5
"FC001|Pipiens|2021|32","FC-001","SW","FC",2021-08-11,2021,32,"Pipiens","Culex pipiens","L","culex",5
"FC001|Pipiens|2021|33","FC-001","SW","FC",2021-08-18,2021,33,"Pipiens","Culex pipiens","L","culex",1
"FC001|Pipiens|2021|34","FC-001","SW","FC",2021-08-25,2021,34,"Pipiens","Culex pipiens","L","culex",4
"FC001|Pipiens|2021|35","FC-001","SW","FC",2021-09-01,2021,35,"Pipiens","Culex pipiens","L","culex",13
"FC001|Pipiens|2021|36","FC-001","SW","FC",2021-09-08,2021,36,"Pipiens","Culex pipiens","L","culex",7
"FC001|Pipiens|2022|24","FC-001","SW","FC",2022-06-15,2022,24,"Pipiens","Culex pipiens","L","culex",2
"FC001|Pipiens|2022|27","FC-001","SW","FC",2022-07-06,2022,27,"Pipiens","Culex pipiens","L","culex",1
"FC001|Pipiens|2022|29","FC-001","SW","FC",2022-07-20,2022,29,"Pipiens","Culex pipiens","L","culex",16
"FC001|Pipiens|2022|31","FC-001","SW","FC",2022-08-03,2022,31,"Pipiens","Culex pipiens","L","culex",34
"FC001|Pipiens|2022|32","FC-001","SW","FC",2022-08-10,2022,32,"Pipiens","Culex pipiens","L","culex",46
"FC001|Pipiens|2022|33","FC-001","SW","FC",2022-08-17,2022,33,"Pipiens","Culex pipiens","L","culex",17
"FC001|Pipiens|2022|36","FC-001","SW","FC",2022-09-07,2022,36,"Pipiens","Culex pipiens","L","culex",2
"FC001|Pipiens|2022|37","FC-001","SW","FC",2022-09-12,2022,37,"Pipiens","Culex pipiens","L","culex",10
"FC001|Pipiens|2023|23","FC-001","SW","FC",2023-06-07,2023,23,"Pipiens","Culex pipiens","L","culex",3
"FC001|Pipiens|2023|26","FC-001","SW","FC",2023-06-28,2023,26,"Pipiens","Culex pipiens","L","culex",17
"FC001|Pipiens|2023|28","FC-001","SW","FC",2023-07-12,2023,28,"Pipiens","Culex pipiens","L","culex",4
"FC001|Pipiens|2023|29","FC-001","SW","FC",2023-07-19,2023,29,"Pipiens","Culex pipiens","L","culex",15
"FC001|Pipiens|2023|30","FC-001","SW","FC",2023-07-25,2023,30,"Pipiens","Culex pipiens","L","culex",3
"FC001|Pipiens|2023|31","FC-001","SW","FC",2023-08-02,2023,31,"Pipiens","Culex pipiens","L","culex",3
"FC001|Pipiens|2023|32","FC-001","SW","FC",2023-08-07,2023,32,"Pipiens","Culex pipiens","L","culex",3
"FC001|Pipiens|2023|33","FC-001","SW","FC",2023-08-16,2023,33,"Pipiens","Culex pipiens","L","culex",10
"FC001|Pipiens|2023|34","FC-001","SW","FC",2023-08-23,2023,34,"Pipiens","Culex pipiens","L","culex",27
"FC001|Pipiens|2023|35","FC-001","SW","FC",2023-08-30,2023,35,"Pipiens","Culex pipiens","L","culex",2
"FC001|Pipiens|2023|36","FC-001","SW","FC",2023-09-05,2023,36,"Pipiens","Culex pipiens","L","culex",21
"FC001|Pipiens|2024|26","FC-001","SW","FC",2024-06-27,2024,26,"Pipiens","Culex pipiens","L","culex",1
"FC001|Pipiens|2024|28","FC-001","SW","FC",2024-07-11,2024,28,"Pipiens","Culex pipiens","L","culex",1
"FC001|Pipiens|2024|29","FC-001","SW","FC",2024-07-18,2024,29,"Pipiens","Culex pipiens","L","culex",1
"FC001|Pipiens|2024|31","FC-001","SW","FC",2024-08-01,2024,31,"Pipiens","Culex pipiens","L","culex",2
"FC001|Pipiens|2024|32","FC-001","SW","FC",2024-08-08,2024,32,"Pipiens","Culex pipiens","L","culex",2
"FC001|Pipiens|2024|34","FC-001","SW","FC",2024-08-22,2024,34,"Pipiens","Culex pipiens","L","culex",2
"FC001|Pipiens|2024|35","FC-001","SW","FC",2024-08-29,2024,35,"Pipiens","Culex pipiens","L","culex",3
"FC001|Pipiens|2024|36","FC-001","SW","FC",2024-09-05,2024,36,"Pipiens","Culex pipiens","L","culex",2
"FC001|Pipiens|2025|25","FC-001","SW","FC",2025-06-19,2025,25,"Pipiens","Culex pipiens","L","culex",4
"FC001|Pipiens|2025|26","FC-001","SW","FC",2025-06-26,2025,26,"Pipiens","Culex pipiens","L","culex",2
"FC001|Pipiens|2025|27","FC-001","SW","FC",2025-07-03,2025,27,"Pipiens","Culex pipiens","L","culex",2
"FC001|Pipiens|2025|30","FC-001","SW","FC",2025-07-24,2025,30,"Pipiens","Culex pipiens","L","culex",1
"FC001|Pipiens|2025|32","FC-001","SW","FC",2025-08-07,2025,32,"Pipiens","Culex pipiens","L","culex",10
"FC001|Pipiens|2025|34","FC-001","SW","FC",2025-08-21,2025,34,"Pipiens","Culex pipiens","L","culex",11
"FC001|Pipiens|2025|36","FC-001","SW","FC",2025-09-04,2025,36,"Pipiens","Culex pipiens","L","culex",1
"FC001|Tarsalis|2020|26","FC-001","SW","FC",2020-06-24,2020,26,"Tarsalis","Culex tarsalis","L","culex",7
"FC001|Tarsalis|2020|28","FC-001","SW","FC",2020-07-08,2020,28,"Tarsalis","Culex tarsalis","L","culex",1
"FC001|Tarsalis|2020|29","FC-001","SW","FC",2020-07-15,2020,29,"Tarsalis","Culex tarsalis","L","culex",2
"FC001|Tarsalis|2020|30","FC-001","SW","FC",2020-07-22,2020,30,"Tarsalis","Culex tarsalis","L","culex",4
"FC001|Tarsalis|2020|31","FC-001","SW","FC",2020-07-29,2020,31,"Tarsalis","Culex tarsalis","L","culex",9
"FC001|Tarsalis|2020|33","FC-001","SW","FC",2020-08-12,2020,33,"Tarsalis","Culex tarsalis","L","culex",2
"FC001|Tarsalis|2020|34","FC-001","SW","FC",2020-08-19,2020,34,"Tarsalis","Culex tarsalis","L","culex",4
"FC001|Tarsalis|2021|26","FC-001","SW","FC",2021-06-30,2021,26,"Tarsalis","Culex tarsalis","L","culex",8
"FC001|Tarsalis|2021|27","FC-001","SW","FC",2021-07-07,2021,27,"Tarsalis","Culex tarsalis","L","culex",1
"FC001|Tarsalis|2021|28","FC-001","SW","FC",2021-07-14,2021,28,"Tarsalis","Culex tarsalis","L","culex",24
"FC001|Tarsalis|2021|29","FC-001","SW","FC",2021-07-21,2021,29,"Tarsalis","Culex tarsalis","L","culex",1
"FC001|Tarsalis|2021|30","FC-001","SW","FC",2021-07-28,2021,30,"Tarsalis","Culex tarsalis","L","culex",105
"FC001|Tarsalis|2021|31","FC-001","SW","FC",2021-08-04,2021,31,"Tarsalis","Culex tarsalis","L","culex",7
"FC001|Tarsalis|2021|32","FC-001","SW","FC",2021-08-11,2021,32,"Tarsalis","Culex tarsalis","L","culex",10
"FC001|Tarsalis|2021|33","FC-001","SW","FC",2021-08-18,2021,33,"Tarsalis","Culex tarsalis","L","culex",6
