"key","trap_id","zone","zone2","year","week","trap_date","method","spp","trap_status","total"
"FC001|Pipiens|2019|27","FC-001","FC","FC",2019,27,2019-07-03,"L","Pipiens","culex",0
"FC001|Tarsalis|2019|27","FC-001","FC","FC",2019,27,2019-07-03,"L","Tarsalis","culex",3
"FC001|Pipiens|2019|28","FC-001","FC","FC",2019,28,2019-07-10,"L","Pipiens","culex",0
"FC001|Tarsalis|2019|28","FC-001","FC","FC",2019,28,2019-07-10,"L","Tarsalis","culex",5
"FC001|Pipiens|2019|29","FC-001","FC","FC",2019,29,2019-07-17,"L","Pipiens","culex",0
"FC001|Tarsalis|2019|29","FC-001","FC","FC",2019,29,2019-07-17,"L","Tarsalis","culex",29
"FC001|Pipiens|2019|30","FC-001","FC","FC",2019,30,2019-07-24,"L","Pipiens","culex",0
"FC001|Tarsalis|2019|30","FC-001","FC","FC",2019,30,2019-07-24,"L","Tarsalis","culex",17
"FC001|Pipiens|2019|31","FC-001","FC","FC",2019,31,2019-07-31,"L","Pipiens","culex",0
"FC001|Tarsalis|2019|31","FC-001","FC","FC",2019,31,2019-07-31,"L","Tarsalis","culex",8
"FC001|Pipiens|2019|33","FC-001","FC","FC",2019,33,2019-08-14,"L","Pipiens","culex",0
"FC001|Tarsalis|2019|33","FC-001","FC","FC",2019,33,2019-08-14,"L","Tarsalis","culex",15
"FC001|Pipiens|2019|34","FC-001","FC","FC",2019,34,2019-08-21,"L","Pipiens","culex",0
"FC001|Tarsalis|2019|34","FC-001","FC","FC",2019,34,2019-08-21,"L","Tarsalis","culex",3
"FC001|Pipiens|2019|35","FC-001","FC","FC",2019,35,2019-08-28,"L","Pipiens","culex",0
"FC001|Tarsalis|2019|35","FC-001","FC","FC",2019,35,2019-08-28,"L","Tarsalis","culex",19
"FC001|Pipiens|2019|36","FC-001","FC","FC",2019,36,2019-09-04,"L","Pipiens","culex",0
"FC001|Tarsalis|2019|36","FC-001","FC","FC",2019,36,2019-09-04,"L","Tarsalis","culex",11
"FC001|Pipiens|2020|26","FC-001","FC","FC",2020,26,2020-06-24,"L","Pipiens","culex",0
"FC001|Tarsalis|2020|26","FC-001","FC","FC",2020,26,2020-06-24,"L","Tarsalis","culex",7
"FC001|Pipiens|2020|28","FC-001","FC","FC",2020,28,2020-07-08,"L","Pipiens","culex",1
"FC001|Tarsalis|2020|28","FC-001","FC","FC",2020,28,2020-07-08,"L","Tarsalis","culex",1
"FC001|Pipiens|2020|29","FC-001","FC","FC",2020,29,2020-07-15,"L","Pipiens","culex",0
"FC001|Tarsalis|2020|29","FC-001","FC","FC",2020,29,2020-07-15,"L","Tarsalis","culex",2
"FC001|Pipiens|2020|30","FC-001","FC","FC",2020,30,2020-07-22,"L","Pipiens","culex",0
"FC001|Tarsalis|2020|30","FC-001","FC","FC",2020,30,2020-07-22,"L","Tarsalis","culex",4
"FC001|Pipiens|2020|31","FC-001","FC","FC",2020,31,2020-07-29,"L","Pipiens","culex",0
"FC001|Tarsalis|2020|31","FC-001","FC","FC",2020,31,2020-07-29,"L","Tarsalis","culex",9
"FC001|Pipiens|2020|32","FC-001","FC","FC",2020,32,2020-08-05,"L","Pipiens","culex",10
"FC001|Tarsalis|2020|32","FC-001","FC","FC",2020,32,2020-08-05,"L","Tarsalis","culex",0
"FC001|Pipiens|2020|33","FC-001","FC","FC",2020,33,2020-08-12,"L","Pipiens","culex",1
"FC001|Tarsalis|2020|33","FC-001","FC","FC",2020,33,2020-08-12,"L","Tarsalis","culex",2
"FC001|Pipiens|2020|34","FC-001","FC","FC",2020,34,2020-08-19,"L","Pipiens","culex",12
"FC001|Tarsalis|2020|34","FC-001","FC","FC",2020,34,2020-08-19,"L","Tarsalis","culex",4
"FC001|Pipiens|2020|35","FC-001","FC","FC",2020,35,2020-08-26,"L","Pipiens","culex",1
"FC001|Tarsalis|2020|35","FC-001","FC","FC",2020,35,2020-08-26,"L","Tarsalis","culex",0
"FC001|Pipiens|2021|26","FC-001","FC","FC",2021,26,2021-06-30,"L","Pipiens","culex",4
"FC001|Tarsalis|2021|26","FC-001","FC","FC",2021,26,2021-06-30,"L","Tarsalis","culex",8
"FC001|Pipiens|2021|27","FC-001","FC","FC",2021,27,2021-07-07,"L","Pipiens","culex",0
"FC001|Tarsalis|2021|27","FC-001","FC","FC",2021,27,2021-07-07,"L","Tarsalis","culex",1
"FC001|Pipiens|2021|28","FC-001","FC","FC",2021,28,2021-07-14,"L","Pipiens","culex",3
"FC001|Tarsalis|2021|28","FC-001","FC","FC",2021,28,2021-07-14,"L","Tarsalis","culex",24
"FC001|Pipiens|2021|29","FC-001","FC","FC",2021,29,2021-07-21,"L","Pipiens","culex",0
"FC001|Tarsalis|2021|29","FC-001","FC","FC",2021,29,2021-07-21,"L","Tarsalis","culex",1
"FC001|Pipiens|2021|30","FC-001","FC","FC",2021,30,2021-07-28,"L","Pipiens","culex",26
"FC001|Tarsalis|2021|30","FC-001","FC","FC",2021,30,2021-07-28,"L","Tarsalis","culex",105
"FC001|Pipiens|2021|31","FC-001","FC","FC",2021,31,2021-08-04,"L","Pipiens","culex",5
"FC001|Tarsalis|2021|31","FC-001","FC","FC",2021,31,2021-08-04,"L","Tarsalis","culex",7
"FC001|Pipiens|2021|32","FC-001","FC","FC",2021,32,2021-08-11,"L","Pipiens","culex",5
"FC001|Tarsalis|2021|32","FC-001","FC","FC",2021,32,2021-08-11,"L","Tarsalis","culex",10
"FC001|Pipiens|2021|33","FC-001","FC","FC",2021,33,2021-08-18,"L","Pipiens","culex",1
"FC001|Tarsalis|2021|33","FC-001","FC","FC",2021,33,2021-08-18,"L","Tarsalis","culex",6
"FC001|Pipiens|2021|34","FC-001","FC","FC",2021,34,2021-08-25,"L","Pipiens","culex",4
"FC001|Tarsalis|2021|34","FC-001","FC","FC",2021,34,2021-08-25,"L","Tarsalis","culex",4
"FC001|Pipiens|2021|35","FC-001","FC","FC",2021,35,2021-09-01,"L","Pipiens","culex",13
"FC001|Tarsalis|2021|35","FC-001","FC","FC",2021,35,2021-09-01,"L","Tarsalis","culex",4
"FC001|Pipiens|2021|36","FC-001","FC","FC",2021,36,2021-09-08,"L","Pipiens","culex",7
"FC001|Tarsalis|2021|36","FC-001","FC","FC",2021,36,2021-09-08,"L","Tarsalis","culex",1
"FC001|Pipiens|2022|24","FC-001","FC","FC",2022,24,2022-06-15,"L","Pipiens","culex",2
"FC001|Tarsalis|2022|24","FC-001","FC","FC",2022,24,2022-06-15,"L","Tarsalis","culex",3
"FC001|Pipiens|2022|25","FC-001","FC","FC",2022,25,2022-06-22,"L","Pipiens","culex",0
"FC001|Tarsalis|2022|25","FC-001","FC","FC",2022,25,2022-06-22,"L","Tarsalis","culex",1
"FC001|Pipiens|2022|26","FC-001","FC","FC",2022,26,2022-06-29,"L","Pipiens","culex",0
"FC001|Tarsalis|2022|26","FC-001","FC","FC",2022,26,2022-06-29,"L","Tarsalis","culex",6
"FC001|Pipiens|2022|27","FC-001","FC","FC",2022,27,2022-07-06,"L","Pipiens","culex",1
"FC001|Tarsalis|2022|27","FC-001","FC","FC",2022,27,2022-07-06,"L","Tarsalis","culex",16
"FC001|Pipiens|2022|28","FC-001","FC","FC",2022,28,2022-07-13,"L","Pipiens","culex",0
"FC001|Tarsalis|2022|28","FC-001","FC","FC",2022,28,2022-07-13,"L","Tarsalis","culex",34
"FC001|Pipiens|2022|29","FC-001","FC","FC",2022,29,2022-07-20,"L","Pipiens","culex",16
"FC001|Tarsalis|2022|29","FC-001","FC","FC",2022,29,2022-07-20,"L","Tarsalis","culex",56
"FC001|Pipiens|2022|31","FC-001","FC","FC",2022,31,2022-08-03,"L","Pipiens","culex",34
"FC001|Tarsalis|2022|31","FC-001","FC","FC",2022,31,2022-08-03,"L","Tarsalis","culex",43
"FC001|Pipiens|2022|32","FC-001","FC","FC",2022,32,2022-08-10,"L","Pipiens","culex",46
"FC001|Tarsalis|2022|32","FC-001","FC","FC",2022,32,2022-08-10,"L","Tarsalis","culex",73
"FC001|Pipiens|2022|33","FC-001","FC","FC",2022,33,2022-08-17,"L","Pipiens","culex",17
"FC001|Tarsalis|2022|33","FC-001","FC","FC",2022,33,2022-08-17,"L","Tarsalis","culex",12
"FC001|Pipiens|2022|34","FC-001","FC","FC",2022,34,2022-08-24,"L","Pipiens","culex",61
"FC001|Tarsalis|2022|34","FC-001","FC","FC",2022,34,2022-08-24,"L","Tarsalis","culex",41
"FC001|Pipiens|2022|35","FC-001","FC","FC",2022,35,2022-08-28,"L","Pipiens","culex",44
"FC001|Tarsalis|2022|35","FC-001","FC","FC",2022,35,2022-08-28,"L","Tarsalis","culex",23
"FC001|Pipiens|2022|36","FC-001","FC","FC",2022,36,2022-09-07,"L","Pipiens","culex",2
